2018 SOC Major Group,Major Group Title,Number of Occurrences
11,Management Occupations,82
13,Business and Financial Operations Occupations,54
15,Computer and Mathematical Occupations,34
17,Architecture and Engineering Occupations,85
19,"Life, Physical, and Social Science Occupations",89
21,Community and Social Service Occupations,15
23,Legal Occupations,7
25,Educational Instruction and Library Occupations,127
27,"Arts, Design, Entertainment, Sports, and Media Occupations",161
29,Healthcare Practitioners and Technical Occupations,117
31,Healthcare Support Occupations,21
33,Protective Service Occupations,22
35,Food Preparation and Serving Related Occupations,27
37,Building and Grounds Cleaning and Maintenance Occupations,16
39,Personal Care and Service Occupations,49
41,Sales and Related Occupations,37
43,Office and Administrative Support Occupations,82
45,"Farming, Fishing, and Forestry Occupations",47
47,Construction and Extraction Occupations,88
49,"Installation, Maintenance, and Repair Occupations",81
51,Production Occupations,279
53,Transportation and Material Moving Occupations,94
55,Military Specific Occupations,0